city,population_proper
"Prairie Ridge, WA",
"Edison, WA",
"Packwood, WA",
"Wautauga Beach, WA",
"Harper, WA",
"Telma, WA",
"Kahlotus, WA",189.0
"Mondovi, WA",
"Washtucna, WA",195.0
"Pleasant Hill, WA",
"Toledo, WA",738.0
"Wabash, WA",
"Renton, WA",100953.0
"Chehalis, WA",7498.0
"Central Valley, WA",
"Lake City, WA",
"Megler, WA",
"Alder, WA",
"Ronald, WA",
"Belvedere, WA",
"Waverly, WA",110.0
"Turner Corner, WA",
"Lofall, WA",
"Kennydale, WA",
"Easton, WA",
"Navy Yard City, WA",
"Mercer Island, WA",25134.0
"Lynnwood, WA",38092.0
"Coulee City, WA",569.0
"Douglas, WA",
"Centralia, WA",16982.0
"Colbert, WA",
"Bryn Mawr, WA",
"Silverdale, WA",
"Lyle, WA",
"Malott, WA",
"Mountlake Terrace, WA",21182.0
"Ilwaco, WA",929.0
"Fairwood, WA",
"Warm Beach, WA",
"Thomas, WA",
"Parker, WA",
"Steptoe, WA",
"Vail, WA",
"Magnolia Beach, WA",
"Lakeview, WA",
"Shaw Island, WA",
"Oakesdale, WA",435.0
"Rosburg, WA",
"Seattle, WA",704352.0
"Onalaska, WA",
"George, WA",495.0
"Index, WA",199.0
"Winchester, WA",
"Chelatchie, WA",
"Allentown, WA",
"Novelty, WA",
"Rosalia, WA",565.0
"Richmond Beach, WA",
"Lakota, WA",
"Liberty Lake, WA",9209.0
"Airway Heights, WA",6672.0
"Reardan, WA",567.0
"Silvana, WA",
"Brier, WA",6743.0
"Robe, WA",
"Elk Plain, WA",
"Port Townsend, WA",9527.0
"Ocean City, WA",
"Boulevard Park, WA",
"Newhalem, WA",
"Ford, WA",
"Waterville, WA",1181.0
"Quinault, WA",
"Humptulips, WA",
"Hamilton, WA",299.0
"Oak Harbor, WA",23204.0
"Naches, WA",823.0
"Anacortes, WA",16681.0
"Kettle Falls, WA",1604.0
"Walnut Grove, WA",
"Salkum, WA",
"Cunningham, WA",
"Irby, WA",
"Electric City, WA",1001.0
"Burbank, WA",
"Silver Lake, WA",
"Dash Point, WA",
"Woods Creek, WA",
"McKenna, WA",
"Island View, WA",
"Kalama, WA",2484.0
"Grandview, WA",11159.0
"Winthrop, WA",430.0
"Maltby, WA",
"Spangle, WA",297.0
"Blanchard, WA",
"Artondale, WA",
"May Creek, WA",
"Home, WA",
"Vashon, WA",
"Snoqualmie Falls, WA",
"Laurier, WA",
