school,address,absences,Mjob,Fjob,G3
GP,U,6,at_home,teacher,6
GP,U,4,at_home,other,6
GP,U,10,at_home,other,10
GP,U,2,health,services,15
GP,U,4,other,other,10
GP,U,10,services,other,15
GP,U,0,other,other,11
GP,U,6,other,teacher,6
GP,U,0,services,other,19
GP,U,0,other,other,15
GP,U,0,teacher,health,9
GP,U,4,services,other,12
GP,U,2,health,services,14
GP,U,2,teacher,other,11
GP,U,0,other,other,16
GP,U,4,health,other,14
GP,U,6,services,services,14
GP,U,4,other,other,10
GP,U,16,services,services,5
GP,U,4,health,other,10
GP,U,0,teacher,other,15
GP,U,0,health,health,15
GP,U,2,teacher,other,16
GP,U,0,other,other,12
GP,R,2,services,health,8
GP,U,14,services,services,8
GP,U,2,other,other,11
GP,U,4,health,services,15
GP,U,4,services,other,11
GP,U,16,teacher,teacher,11
GP,U,0,health,services,12
GP,U,0,services,services,17
GP,R,0,teacher,at_home,16
GP,U,0,other,other,12
GP,U,0,other,other,15
GP,U,0,other,other,6
GP,U,2,teacher,services,18
GP,R,7,other,teacher,15
GP,R,2,services,health,11
GP,R,8,at_home,other,13
GP,U,25,other,other,11
GP,U,8,teacher,other,12
GP,U,2,services,teacher,18
GP,U,0,services,services,11
GP,U,14,other,at_home,9
GP,U,8,other,other,6
GP,U,12,other,services,11
GP,U,4,health,services,20
GP,U,2,teacher,other,14
GP,U,2,services,teacher,7
GP,U,2,services,services,13
GP,U,2,health,other,13
GP,U,6,health,health,10
GP,U,0,services,services,11
GP,U,6,other,other,13
GP,U,8,other,other,10
GP,U,0,services,services,15
GP,U,4,teacher,health,15
GP,U,2,other,at_home,9
GP,U,2,services,other,16
GP,R,6,health,teacher,11
GP,U,6,services,services,11
GP,U,4,other,services,9
GP,U,2,teacher,health,9
GP,U,0,services,services,10
GP,U,2,teacher,services,15
GP,U,4,other,services,12
GP,U,4,services,other,6
GP,R,2,health,services,8
GP,R,12,other,other,16
GP,U,0,other,other,15
GP,U,0,other,other,10
GP,R,2,other,other,5
GP,U,2,other,other,14
GP,U,54,other,services,11
GP,U,6,teacher,other,10
GP,U,8,teacher,other,10
GP,U,0,other,other,11
GP,U,2,other,other,10
GP,U,12,at_home,other,5
GP,U,2,other,services,12
GP,U,4,other,other,11
GP,U,10,services,other,6
GP,U,4,services,services,15
GP,U,2,other,other,10
GP,U,6,services,services,8
GP,U,4,at_home,other,6
GP,U,4,other,other,14
GP,U,12,services,other,10
GP,U,18,teacher,health,7
GP,U,0,other,other,8
GP,U,4,services,other,18
GP,U,4,other,other,6
GP,U,0,teacher,services,10
GP,U,6,services,health,14
GP,R,2,at_home,other,10
GP,R,2,services,other,15
GP,U,2,other,other,10
GP,U,6,other,other,14
GP,U,0,other,at_home,8
GP,U,14,services,services,5
GP,U,0,services,teacher,17
GP,U,4,services,other,14
GP,U,26,services,other,6
GP,U,0,services,other,18
GP,U,10,other,health,11
GP,U,8,other,other,8
GP,U,2,services,other,18
GP,R,6,other,other,13
GP,U,4,health,health,16
